UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YLR133W	0.48	0.36	-0.1	0.15	1.13	-0.26	0.35	-0.17
YML027W	-0.27	-0.2	-0.28	-0.22	-0.09	-1.61	-0.34	-0.17
YLR135W	-0.05	0.17	-0.16	-0.3	0.24	-0.8	0.06	-0.2
YML029W	0.4	0.21	0.18	-0.34	0.27	-1.02	0.19	0.12
YOR085W	0.34	0.46	0.58	0.52	-0.01	-0.57	0.35	0.15
YLR137W	-0.22	-0.03	-0.46	-0.41	0.49	-0.48	-0.33	-0.41
YML031W	-0.17	0.07	0.03	-0.55	-0.13	-1.22	0.36	-0.29
YOR087W	0.3	0.42	-0.09	0.1	-0.03	-0.41	-0.96	0.06
YLR139C	0.04	0.07	-0.38	-0.28	1.04	-0.72	0.15	-0.03
YOR089C	-0.01	-0.12	0.07	0.16	-0.12	-0.59	-0.61	0.03
YNL172W	-0.15	-0.43	-0.12		-0.38	-0.24	-0.64	0.07
YLR153C	0.27	0.41	0.26	0.3	1.18	-0.61	0.81	0.28
YML035C	0.42	0.32	-0.15	-0.18	0.84	-0.88	0.65	0.36
YOR091W	-1.06	-0.49	-0.05	-0.5	-0.58	-1.28	-1.01	-0.13
YLR155C	0.36	-0.18	0.26	0.48	0.97	0.31	1.04	0.01
YML038C	-0.08	-0.01	-0.25	-0.73	-0.12	-1.02	0.56	-0.16
YOR093C	-0.67	-0.37	0.41		-0.12	-0.54	-1.25	-0.41
YLR157C	0.33	-0.18	0.2	0.42	0.84	0.15	0.98	-0.14
YML055W	-0.14	-0.72	0.03	-0.07	-0.01	-0.21	0.39	-0.18
YNL162W	-0.66	-0.57	-0.26	-0.12	-0.63	-0.77	-0.08	-0.32
YOR107W	-0.03	-0.25	-0.05	0.13	-0.41	-0.6	-1.64	0.23
YLR159W	0.56	0.16	0.25	0.26	1.28	0.54	0.97	-0.05
YML058W	0.09	-0.5	0.19	-0.2	-0.28	-0.2	0.48	-0.53
YNL164C	-0.53	0.01	-0.23	-0.04	-0.29	-0.81	-0.64	-0.14
YOR109W	0.22	0.53	-0.01	0.1	0.32	-0.83	0.11	0.31
YLR161W	0.53	0.06	0.12	0.17	1.19	0.24	1.01	0.54
YML060W	-0.62	0.02	-0.22	-0.1	-0.07	-1.4	-0.25	-0.49
YNL166C	-0.36	-0.04	-0.01	0.13	-0.4	-0.81	-0.18	-0.06
YOR111W	0.26	0.18	0.09	0.2	-0.29	-0.76	-1.74	-0.17
YLR163C	0.14	0.28	-0.23	-0.37	0.91	-0.96	0.64	-0.13
YML062C	-0.25	-0.14	-0.18	-0.21	-0.1	-0.9	0.17	-0.23
YNL168C	0.4	0.18	0.05	0.7	0.07	-0.15	-0.4	-0.04
YOR113W	0.61	0.22	0.44	0.04	0.21	-0.6	-0.28	0.25
YML064C	-0.15	0.21	-0.24	0.13	-0.22	-0.81	-0.02	-0.29
YNL170W	0.13	0.5	-0.11	0.5	0.26	-0.44	0.25	-0.34
YOR115C	-0.16	-0.38	0.1	0.19	-0.49	-0.35	-0.64	0.14
YOR117W	0.34	0.33	0.06	0.26	-0.02	-0.65	-0.51	-0.14
YML082W	-0.73	0.33	-0.37	-0.01	0.05	-1.15	-0.11	-0.32
YNL186W	-0.58	0.13	-0.14	-0.33	-0.35	-1.48	-0.31	0.1
YOR131C	0.15	-0.03	0.24	0.33	0	-0.28	-0.4	0.05
YML084W	-0.19	-0.39	-0.69		0.3	-0.34	-0.32	-0.1
YNL188W	-0.46	-0.17	-0.11	-0.15	-0.53	-0.53	-0.32	-0.08
YOR133W	0.02	0.74	0.4	0.48	0.18	-0.28	0.85	0.28
YAL001C	0.5	0.38	-0.3	0.18	0.74	-0.13	1.68	0.46
YDL026W	1.38	0.52	-0.03	0.95	0.75	0.68	1.07	-0.07
YEL001C	0.39	-0.37	0.24	0.74	0.26	0.01	1.15	0.2
YGR105W	0.09	-0.21	-0.01	0.56	0.11	0.05	0.89	0.07
YJL086C	-0.32	-1.26	-0.44	-0.82	0.3	-0.65	-0.48	1.23
YMR280C	0.69	-0.28	-1.57	-0.23	0.44	-0.5		-0.01
YOR142W	0.74	0.02	0.29	1.4	0.1	0.07	0.74	-0.19
YMR174C	1.1	0.68	0.3	1.26	0.92	1.26	1.13	0.08
YAL003W	0.01	0.03	0.15	0.3	0.02	0.05	1.74	0.28
YDL028C	0.33	0.34	-0.42	0.33	0.37	-0.27	0.87	0.04
YEL003W	0.09	-0.58	0.29	0.29	0.18	-0.01	0.71	0.27
YGR107W	0.13	-0.19	-0.19	0.31	0.06	-0.02	0.87	0.06
YJL088W	-0.84	1.16	-1.01		0.27	0.36	0.07	-0.45
YMR282C	0.2	0.1	-0.61	0.13	0.14	-0.48		-0.05
YOR144C	-0.08	-0.08	-0.25	0.12	-0.02	-0.53	-0.15	0.27
YER007C-A	-0.04	-0.59	0.09	0.19	-0.18	-0.77	0.71	-0.12
YAL005C	0.69	0.71	-0.28	1.04	0.56	-1		0.64
YDL030W	-0.07	0.12	-0.16	0.67	0.03	-0.12	0.13	0.04
YEL005C	0.15	-0.31	0.05		0.05	0.17	-0.07	-0.02
YGR109C	0	-0.23	-0.24	0.31	-0.05	-0.3	0.31	-0.12
YJL090C	0.14	0.11	-0.24	-0.13	0.61	-0.07	0.13	0.31
YOR146W	-1.02	-0.4	-0.16	0.02	-0.49	-1.32	0.13	-0.07
YML058C-A	0.74	0.15	-0.04	0.13	0.56	-0.12	0.66	
YAL008W	0.3	0.39	0.01	0.87	0.32	0.77	1.66	0.33
YDL032W	-0.19	0.32	-0.37		0.04	-0.25	0.32	-0.02
YEL007W	0.67	0.24	-0.14	1.28	0.65	-0.24	1.08	0.05
YGR111W	0.42	0.07	-0.07	0.78	0.25	0.62	0.61	-0.08
YJL092W	0.46	-0.02	-0.4		0.39	-0.33	0.46	0.4
YMR287C	0.33	-0.03	-0.42		0.02	-0.34	0.21	0.16
YOR148C	0.06	-0.89	0.26	0.36	-0.01	0.24	0.34	0.08
YAL010C	0.2	0.27	-0.3	2.17	0.29	1.52	1.98	0.07
YDL034W	0.55	0.41	-0.11	0.14	0.48	-0.06	0.69	0.23
YEL009C	0.1	0.02	0.51	1.13	0.14	-0.25	0.78	-0.11
YGR113W	0.16	-0.38	-0.33		-0.12	-0.36	-0.21	0.27
YJL094C	0.86	0.25	0.22	0.81	0.55	-0.28	0.98	0.36
YMR289W	0.42	0.18	-1.45	0.85	0.54	-0.41	0.64	-0.28
YOR150W	0.17	-0.06	0.08	6.44	-0.01	-0.27	0.2	-0.02
YIL082W-A	0.31	-0.51	-0.06	-0.43	0.32	-0.77	0.38	
YAL012W	-0.3	0.51	0.14	0.07	0.62	0.68	2.68	-0.21
YDL036C	-0.39	0.25	0.37		0.14	0.72	0.7	-0.01
YEL011W	1.53	-0.33	0.21	2.72	0.95	0.65	2.03	0.12
YGR115C	0.36	-0.33	0.21	-1.65	0.09	-0.6	0.21	0.37
YJL096W	-0.02	0.14	-0.07	0.14	0.2	-0.31	0.24	-0.23
YMR291W	2.04	1.27	0.75		1.53	0.6	0.96	1.12
YOR152C	0.55	-0.09	0.21	3.22	0.6	0.47	0.53	0.16
YHR214C-B	0.22	0.76	0.23	-0.18	0.74	-1.15	0.33	
YAL048C	0.3	0.28	0.34	0.11	0.16	0.8	2.04	0.76
YDL074C	-0.11	0.11	0.34		0.08	0.25	0.6	0.08
YEL048C	-0.18	0.18	-0.26	0.23	-0.06	-0.21	0.28	-0.02
YGR153W	-0.09	-0.07	-0.1	0.65	0.4	-0.09	0.92	0.03
YJL134W	0.2	0.23	-0.12	0.81	0.05		0.96	-0.1
YNL005C	-0.01	-0.14	-0.35	0.63	0.14	0.77	-0.38	-0.1
YOR190W	0.51	-0.08	0.11	0.43	0.04	-0.21	-0.23	
YAL035C-A	-0.17	0.14	-0.42	-0.4	0.29	-1.09		-0.29
YAL051W	0.49	0.45	-0.23	0.26	0.54	-0.38	1.6	0.29
YDL076C	0.33	0.02	0.07		0.16	-0.54	0.78	0.22
YEL050C	0.03	-0.03	-0.23	0.12	0.04	-0.61	0.7	0.01
YGR155W	-0.03	0.05	0.09	0.46	0.16	-0.29	0.73	0
YJL136C	-0.36	-0.59	-0.17	-0.15	-0.54		0.84	-0.02
YNL007C	-0.23	-0.73	-0.7		-0.3	1.31	0.35	0.41
YOR192C	0.07	0.43	-0.17	0.32	0.34	-0.44	0.31	
YEL076C-A	0.62	-0.22	0.23	-0.26	0.41	-0.26		0.8
YAL054C	0.27	0.22	0.12	0.04	0.59	-1.32		0.79
YDL078C	0.16	0.11	0.12	1.32	0.12	0.19	0.73	0.07
YEL052W	0.4	0.19	0.06	0.7	0.25	0.37	1.31	0.13
YGR157W	0.42	0.38	-0.16	0.22	0.32	-0.18	0.64	0.12
YJL138C	0.06	-0.14	0.1	0.62	0.13	-0.42	0.94	0.03
YNL009W	0.25	0.08	-0.33		0.11	0.35	-0.65	-0.24
YOR194C	-0.16	-0.45	0.18	-0.05	-0.23	-0.77	0.31	
YAL069W	0.33	0.2	-0.55	-0.2	0.39	0.25		0.14
YDL080C	0.09	-0.01	0.27		0.14	1.63	0.48	0.25
YEL054C	-0.25	-0.36	-0.02	0.49	-0.14	-0.74	0.97	0.03
YGR159C	0.3	0.33	-0.32	1.08	0.37	-0.01	0.75	0.28
YJL140W	0.1	-0.18	0.17	0.4	0.11	0.18	0.53	0.01
YNL011C	0.71	0.13	-0.39		0.33	0.47	0.59	0.07
YOR196C	-0.21	0.28	0.05	0.3	0.07	-0.76	-0.1	
YJR094W-A	-0.45	-0.95	-0.64	-0.28	-0.69	-1.05		0.19
YAL059W	-1.07	0.09	-0.02	-0.23	-0.39	-1.29	0.61	-0.15
YDL082W	-0.4	-0.55	0.22	1.85	-0.17	-0.47	0.81	0.05
YEL056W	0.22	0.52	-0.16	0.48	0.2	-0.32	0.52	0.03
YGR161C	1.37	0.39	-0.45		0.57	1.36	0.61	0.27
YJL142C	0.38	-0.1	-0.08	1.05	0.44	0.31	1.07	-0.1
YNL013C	0	-0.18	-0.12		0.44	-0.11	0.89	0.36
YOR198C	0.22	-0.3	0.42	0.19	0	-0.47	0.63	
YMR084W	0.99	-0.05	-0.68	1.08	2.13	1.75		0.75
YAL061W	1.65	0.19	-0.38	-0.19	0.42		1.62	0.82
YDL084W	0.12	-0.07	-0.13		0.13	-0.55	1.07	-0.01
YEL058W	0.08	0.54	-0.38	0.53	0.55	0.07	0.57	-0.06
YGR163W	0.27	0.12	-0.29	1.56	0.09	-0.09	-0.02	-0.17
YJL144W	0.97	-0.15	-0.29	0.53	0.49	2.23	1.03	0.6
YNL015W	0.52	-0.47	-0.15		0.32	0.33	-0.04	0.02
YOR200W	-0.28	0.2	-0.14	-0.18	-0.12	-1.25	0.3	0.05
YHR214W-A	0.43	-0.02	-0.12	0	0.36	-0.85		0.12
YBR160W	0.08	0.03	-0.07	0.27	-0.23	0.3	0.54	-0.37
YDR162C	-0.15	-0.02	-0.17	0.35	0.09	-0.35	0.61	-0.1
YFR041C	0.49	-0.21	0.13	0.24	0.11	-0.15	0.86	0.22
YHR141C	-0.56	-0.85	-0.4	0.24	-0.51	-0.52	0.49	-0.04
YNR002C	0.6	0.03	-0.56		0.39	0.89	-1.39	0.01
YPL132W	0.11	-0.2	-0.39		-0.21	-0.75	0.04	0.12
YFL017W-A	-0.17	0.15	0.14	0.1	-0.07	-0.7	-0.03	-0.28
YBR162C	0.39	0.29	0.51	0.69	0.37	-0.14	1.32	0.14
YDR164C	0.23	0.18	-0.21	0.39	0.29	-0.41	0.75	0.04
YFR043C	0.38	-0.08	-0.08	0.58	0.14	0.24	0.33	-0.03
YHR143BW	-0.24	-0.69	-0.63	0.34	-0.08	-0.33	0.52	-0.01
YKL085W	1.06	-0.09	-0.34	2.23	0.57	-0.13	1.52	0.26
YNR004W	0.12	0.06	-0.43		0.11	-0.41	-0.25	-0.06
YPL134C	0.16	0.3	-0.33		0.18	-0.41	-0.1	-0.31
YFL025C	0.28	0.17	0.53	0.1	0.32	-0.62	0.47	0.28
YBR163W	0.31	0.14	0.37	2.63	0.29	0.89	0.49	0.09
YDR166C	0.71	0.46	-0.42	0.49	0.61	-0.31	0.7	0.04
YFR045W	0.51	0.2	-0.1	1.61	0.43	0.36	0.72	-0.17
YHR144C	-0.6	-0.06	-0.29	-0.09	0	-0.32	0.23	-0.01
YKL087C	0.53	-0.07	-0.2	0.99	0.5	-0.4	0.66	0.09
YNR006W	0.16	-0.11	-0.18	1.96	0.07	-0.48	0.09	-0.06
YPL136W	0.45	-1.24	-0.37		-0.21	-0.7	-0.94	1.22
YFL033C	-0.6	-0.3	0.09	-0.08	-0.27	-0.3	-0.22	0.35
YBR165W	0.15	-0.12	0.12	1.54	0.22	0.07	0.57	0.07
YDR168W	0.19	-0.24	0.12	0.16	0.01	-0.25	0.51	0.34
YFR047C	0.4	0.34	0.08	1.52	0.43	0.88	0.92	-0.11
YHR146W	0.06	0.05	-0.19	0.26	0.36	-0.35	0.49	0.04
YKL089W	0.17	0.17	-0.4		0.5	-0.35	0.56	0
YNR008W	0.04	-0.12	-0.25	-0.87	0.27	-0.48	0.04	0.92
YPL138C	0.06	0.1	-0.61	1.34	0.34	-0.32	0.14	-0.31
YFL034W	0.42	0.53	-0.31	0.04	0.3	-0.58	0.68	0.02
YBR167C	0.11	0	0.08	0.44	0.15	0.82	0.86	-0.03
YDR170C	0.44	-0.04	-0.29	0.08	0.58	-0.15	0.67	0.27
YFR049W	0.63	0.01	-0.14	1.37	0.38	0.42	0.95	-0.04
YHR148W	-0.98	-0.12	-0.17	0.39	-0.09	-0.87	0.18	-0.09
YKL091C	0.87	-0.08	-0.02		0.47	0.89	0.92	0.11
YNR010W	0.2	0.29	-0.19		0.47	0.59	-0.44	0.01
YPL140C	0.15	-0.2	-0.36	-0.46	-0.01	-1.27	-1.09	-0.07
YFL047W	0.15	0.24	-0.06	-0.1	0.26	-0.44	0.47	0.47
YBR169C	0.88	0.04	0.24	0.74	0.46		2.02	0.74
YDR172W	-0.21	0.17	-0.12	0.2	0.07	-1.01	0.84	0.13
YFR051C	0.04	-0.14	-0.7	-1.92	0.38	-0.03	0.57	-0.07
YHR150W	0.23	0.12	-0.36		0.26	-0.02	0.38	0.29
YKL093W	0.86	0.11	-0.27		0.54	0.43	0.32	0.16
YNR012W	-0.77	0.25	-0.25		0.01	-0.97	-1.09	-0.13
YPL142C	-0.29	-0.88	-0.18	0.56	-0.31	-1.02	0.55	0.09
YFL057C	0.24	-0.5	-0.02	-0.04	0.28	-0.4	0.07	-0.46
YBR207W	0.16	0.2	-0.46	0.58	0	0.43		-0.13
YDR210W	0.12	-0.12	0.01	0.81	0.6	0.68	1.01	0.21
YGL032C	0.06	-0.5	-0.4	0.24	-0.52	-0.57	0.71	0.06
YHR188C	0.32	0.33	-0.09	0.23	0.56	-0.24	0.97	-0.11
YKL130C	0.33	-0.23	-0.31		0.12	-0.29	0.18	-0.08
YNR050C	0.17	0.28	-0.3	1.21	0.56	0.85	0.12	-0.16
YPL180W	0.27	0.58	-0.81		0.96	0.44	0.68	-0.36
YGR061C	0.38	0.04	-0.3	0.46	0.4	-0.29	0.49	0.23
YBR209W	0.2	0.38	-0.35	0.45	0.2	1.35	1.69	-0.03
YDR212W	0.07	0.34	-0.26	0.41	0.22	-0.31	0.8	-0.07
YGL034C	0.12	-0.14	-0.69	1.53	-0.13	-0.14	1.13	0.07
YHR190W	0.52	0.12	0.18	1.5	0.73	-0.23	1.14	-0.15
YKL132C	0.53	0.04	-0.38		0.22	0.26	-0.15	0.01
YNR052C	-0.01	-0.32	-0.04	-0.08	-0.02	-0.69	0.23	-0.03
YPL182C	0.05	0.14	-0.18	1	0.27	-1.11	0.14	-0.48
YGR071C	0.12	0.09	-0.07	-0.18	0.02	-0.8	0.06	0.43
YBR211C	0.37	0.07	0.32		0.2	0.7	1.43	0.36
YDR214W	0.25	0.2	-0.06	0.47	0.28	0.72	0.6	0.11
YGL036W	0.51	0.19	-0.11	0.12	0.16	-0.36	0.62	0.24
YHR192W	-0.06	-0.33	0.1	0.31	-0.02	-0.27	0.28	-0.08
YKL134C	0.86	0.09	-0.39	1.48	0.35	-0.2	-0.01	0.27
YNR054C	-1.01	-0.26	0.02	-0.19	-0.36	-1.18	0.23	-0.13
YPL184C	0.31	0.31	0.37	0.42	0.23	-0.89	-0.17	0.34
YGR089W	0.15	-0.09	-0.11	0.39	0.07	-0.49	0.83	0.04
YDR216W	0.81	-0.23	-0.16	0.32	0.61	0.81	0.76	0.15
YGL038C	0.55	0.09	0.14	0.33	0.37	-0.27	0.81	0.15
YDR450W	-0.43	-0.48	0.09	0.27	-0.18	-0.4	1.4	0.01
YHR194W	0.21	-0.07	-0.28	1.58	0.36	0.22	0.13	0.14
YFR022W	0.56	0.14	-0.58	1.05	0.74	0.22	1.18	-0.02
YKL136W	0.67	0.2	-0.4		0.65	0.19	0.77	0.45
YHR046C	0.57	0.48	0.25	0.87	1	0.27	0.92	0.06
YJR150C	0.32	-0.26	-0.12	-0.47	3.54	-1.5	4.12	-0.37
YNR056C	-0.04	-0.07	-0.24	-1.54	-0.84	-0.3	-0.13	-0.16
YMR173W	1.64	0.62	0.65		1.26	0.78	1.61	0.27
YGR094W	0.17	0.09	-0.41	0.11	0.59	0.21	0.7	-0.11
YPR137W	-1.08	-0.14	-0.41	-0.85	-0.36	-1.4	-0.05	-0.27
YBR215W	0.06	0.09	-0.06		0.05	0.6	1.75	0.14
YAL024C	0.04	-0.11	-0.17	0.05	0.19	-0.38	0.4	0.06
YDR218C	-0.11	0	-0.48	-0.66	0.75	-0.42	-0.49	-0.3
YGL040C	0.23	0.07	-0.08	0.67	0.39	-0.15	0.95	0.04
YHR196W	-0.95	-0.27	-0.09	-0.69	-0.17	-1.24	0.22	-0.16
YKL138C	0.18	-0.11	-0.02		0.24	-0.14	1.19	-0.05
YDR452W	0.88	1.77	2.02	2.6	2.43	1.34	3.03	1.26
YFR036W	-0.3	-0.11	0.22	-0.28	0.05	-0.42	-0.15	-0.27
YNR058W	0.14	-0.1	-0.47	-2.1	-0.11	-0.18	-1.74	-0.34
YHR048W	0.53	0.1	-0.92	2.05	0.49	0.1		-0.46
YPL188W	0	-0.19	-0.12	0.71	-0.12	-0.59	-0.81	
YJR152W	0.69	0.12	-0.76		1.62	0.06	2.7	-0.33
YGR100W	-0.17	0.13	0.2	-0.08	-0.01	-0.67	-0.31	-0.12
YMR177W	0.16	-0.1	-0.72		-0.02	-0.48	0.23	-0.38
YBR217W	0.1	0.35	-0.55		0.28	-2.13	1.31	0.08
YDR220C	0.14	0.12	-0.54	0.14	0.42	-0.57	0.15	0.13
YPR139C	-0.3	-0.55	-0.19	-0.03	-0.29	-1.01	0.09	0.1
YGL042C	0.06	-0.18	-0.17	1.18	0.16	-0.39	0.84	-0.02
YAL065C	0.05	-0.03	0.12	0.45	0.18	-0.25	0.71	-0.27
YHR198C	0.37	0.26	0.11	0.14	0.27	-0.56	0.46	-0.09
YKL140W	0.51	-0.17	-0.06	0.13	0.27	-0.31	1.02	0.15
YNR060W	0.22	0.72	-0.42	-0.57	0.19	-0.42	0.34	-0.08
YDR454C	-0.13	-0.27	0.14	0.56	0.07	-0.24	1.81	0.18
YPL190C	0.09	-0.47	0.13	-0.12	0.21	-0.75	0.56	
YFR052W	0.42	-0.22	0.22	0.28	0.09	0.24	0.67	0.14
YGR116W	0.32	-0.05	0.28	-0.24	0.27	-0.41	0.69	0.14
YHR050W	0.43	0.03	-0.21	0.29	0.21	-0.67	0.77	0.56
YJR154W	-0.65	-0.3	-0.43		0.68	0.69	0.52	-0.55
YBR066C	1.03	0.96	-0.26	0.72	0.72	1.2	2.14	0.26
YMR179W	-0.24	-0.14	-0.48	-3.32	-0.02	-0.7	-0.33	-0.12
YDR066C	0.45	0.09	-0.2	0.02	0.13	-0.19	0.26	-0.07
YFL014W	1.53	-0.61	-0.96		1.14	0.37	1.6	-0.91
YPR141C	-0.03	-0.3	-0.62		-0.25	-0.58	0.06	-0.01
YBL017C	-0.18	0.11	-0.53	0.75	1.16	-0.22	1.89	0.46
YLR356W	0.72	0.26	-0.13	3.35	0.57	0.77	0.47	-0.55
YNL245C	-0.1	0.04	0.04	0.36	0.2	-0.54	0.16	-0.11
YPL036W	0.19	-0.11	-0.1		0.01	-0.06	0.98	-0.09
YDR456W	0.36	0.43	0.04	0.9	0.52	0.12	1.87	0.39
YDR141C	0.59	0.26	0.22	0.9	0.69	-0.44	0.59	0.48
YGL011C	0.41	-0.01	0.43	0.88	0.2	-0.06	1.22	0.17
YHR052W	-0.77	-0.38	-0.29	-0.12	-0.03	-0.87	0.33	-0.1
YJR156C	0.42	0.07	-0.43		-0.05	-0.09	-2.23	-0.06
YBR068C	1.18	-0.39	-0.27	0.67	-1.81	0.17	1.56	-0.09
YDR068W	-0.15	-0.19	-0.31		0.39	0.1	-0.32	0.22
YMR181C	0.82	0.09	0	1.37	0.13	0.3	0.18	-0.13
YFL016C	0.4	-0.2	-0.36	0.15	0.83	0.15	0.76	-0.24
YPR143W	-0.88	-0.79	0.18	-0.72	-0.4	-1.01	0.29	0.34
YBL085W	-0.08	0.08	0	0.21	0.2	0.11	0.52	0
YLR358C	0.45	0.1	-0.31	1.17	0.75	-0.59	0.65	-0.37
YNL247W	-0.32	-0.05	-0.24	-0.21	0.1	-0.94	0.37	0.17
YPL038W	-0.5		-0.26	-0.42	-0.49	-0.49	-0.23	-0.31
YDR458C	0.53	0.43	-0.23	0.2	0.41	-0.4	1.18	0.19
YDR150W	-0.47	-0.52	-1.19	0.91	0.35	-0.68	0.73	0.03
YGL027C	0.64	0.42	0.65	1	0.66	-0.11	0.54	0.29
YHR054C	-0.01	0.09	-0.2	0.05	-0.3	0.44	0.43	0.04
YNL017C	0.44	-0.22	-1.04		-0.22	-0.8	-0.12	-0.63
YBR070C	0.28	0.23	0.08	0.68	0.3	0.89	0.95	0.03
YJR158W	0.64	-0.18	-0.37		-0.02	0.04	-1.1	0.07
YMR183C	0.01	-0.21	0.11	0.57	0.11	-0.37	0.39	-0.08
YFL018C	0.44	0.25	-0.01	1.06	0.5	-0.21	0.72	0.03
YPR145W	-0.1	0.24	-0.14	0.39	-0.02	-1.11	0.09	0.08
YDR039C	0.2	0.44	0	0.1	0.82	0.58	0.01	0.38
YLR360W	0.39	0.27	-0.15	0.66	0.3	-0.08	0.43	-0.01
YNL249C	0.09	0.23	-0.15	0.74	0.01	-0.44	-0.18	-0.03
YPL040C	0.45	-0.32	-0.52	1.91	0.16	-0.48	-0.19	-0.18
YDR460W	0.09	-0.3	-0.2	0.44	0.02	-0.18	0.7	0.09
YGL043W	-0.12	0.03	0.13	0.3	0.28	-0.3	0.59	0.07
YBR072W	0.2	0.07	-0.06	1.11	0.35	0.35	1.08	-0.08
YHR056C	-0.05	0.11	-0.91	0.83	0.23	0.11	0.61	-0.01
YDR072C	0.92	0.17	-0.15	0.38	0.51	-0.63	1.24	0.64
YFL020C	0.53	0.23	-0.28	0.43	0.79	0.4	1.16	0.04
YMR185W	-0.42	0.07	-0.33	0.17	0.12	-0.45	0.14	0.13
YPR147C	0.25	-0.12	-0.28	1.52	0.37	-0.01	0.52	0.15
YLR362W	0.5	0.25	-0.32	0.04	0.57	-0.17	0.39	0.01
YDR127W	-0.09	-0.38	-0.18	-0.66	0.43	-0.61	0.31	0.13
YNL251C	0.39	0.19	0.05	0.41	0.43	-0.32	0.27	0.09
YPL042C	0.27	0.09	-0.63	1.63	0.02	-0.6	0.1	0.09
YDR498C	0.1	0.01	-0.25	0.35	0.09	-0.35	1.17	-0.14
YFR025C	0.19	0.43	0.28	0.43	0.15	-0.41	0.91	-0.17
YBR074W	0.31	0.44	-0.07	0.15	0.11	0.76	2.29	0.83
YHR093W	0.4	0.72	-0.52	0.66	0.47	-0.21	0.45	
YDR074W	2.52	0.27	-0.02	1.27	0.86	0.2	2.76	1.39
YKL035W	1.2	0.18	0.16	1.7	0.78	0.43	1.7	0.1
YFL022C	0.33	0.47	-0.12	1.05	0.72	-0.37	0.52	-0.1
YMR226C	0.2	-0.15	0.2	1.59	0.05	-0.59	0.48	-0.04
YPR185W	0.68	-0.25	-0.2	-0.01	0.51	-0.47	1.06	
YLR364W	0.28	0.02	-0.63		0.59	-0.18	0.45	-0.02
YHR032W	-0.51	0.27	-0.13	-0.46	0.05	-0.99	0.32	0.41
YNL253W	0.13	-0.02	-0.19	0.89	-0.08	-0.53	-0.85	0.11
YPL044C	-1.06	0.24	-0.19	0.32	-0.2	-1.39	-0.14	0.01
YDR189W	0.01	0.13	0.44		0.2	0.07	0.6	0.1
YDR500C	-0.42	-0.51	-0.2	0.46	-0.25	-0.57	1.46	0.08
YFR040W	0.66	0.18	0.26	-0.53	0.17	-1.34	0.79	0.48
YBR076W	0.15	0.14	-0.41	0.15	0.46	1.27	0.89	-0.03
YDR076W	0.36	0.1	-0.05	0.07	0.45	0.15	0.85	0.07
YKL037W	1.3	0.1	0.07		0.8	0.4	1.31	0.1
YFL024C	0.21	0.07	-0.46		0.74	0.09	0.27	-0.36
YMR228W	-0.14	0.07	-0.16	0.63	0.02	-0.58	0.15	-0.12
YLR366W	-0.05	1.85	-1.21		0.7	-0.17	1.45	2.08
YPR187W	-0.46	-0.72	0.21	-0.21	-0.45	-0.92	0.1	
YNL255C	-0.28	-0.67	0.21	0.39	-0.4	-0.55	0.65	0.25
YHR034C	-0.05	0.18	-0.16	-0.49	0.33	-0.37	0.7	-0.46
YPL046C	0.22	-0.08	-0.4		0.34	-0.12	0.56	0.38
YDR193W	-0.05	0.13	0.17	-0.1	0.16	-0.49	0.31	0.26
YDR502C	0.33	0.63		-0.75	0.89	0.44	1.78	0
YBR112C	0.39	0.24	-0.53		0.36	-0.55	0.73	0.22
YFR056C	-0.39	0.03	-0.63	-0.76	-0.26	-1.46	-0.66	0.22
YDR114C	-0.12	-0.13	-0.4	0.07	-0.19	-0.09	0.66	-0.48
YHR097C	0.67	-0.08	-0.39	2.17	1.2	0.9	0.59	0.11
YFL062W	0.49	0.14	0.23	1.45	0.7	0.9	1.05	0.06
YKL039W	0.52	0.09	0.1	0.56	0.4	-0.39	0.66	0.22
YMR231W	0.49	0.4	-0.05	1.34	0.47	-0.42	0.57	0.22
YLR404W	0.23	-0.09	-0.33	0.53	0.27	-0.38	0.56	-0.1
YNL293W	-0.04	0.05	-0.51	0.03	-0.03	-0.17		-0.12
YHR036W	-0.25	0.01		-0.52	0.08	-1.18	-0.33	-0.49
YPL084W	0.44	0.34	-0.05	0.54	0.46	-0.57	0.28	0.22
YDR507C	0.39	0.43	0.28	-0.04	0.68	-0.43	0.23	0.21
YBR114W	0.16	0.45	-0.39	0.74	0.57	0.75	-1.05	0.15
YDR504C	0.56	0.12	0.14	0	0.05	0.15	1.51	0.1
YDR116C	0.49	0.16	-1		0.58	-0.58	0.85	-0.1
YGL015C	0.05	0.23	0.11		0.45	-0.74	0.24	0.04
YFL064C	0.49	-0.13	0.05	0.56	0.46	0.05	0.91	0.36
YHR099W	0.56	0.8	-0.68		1.17	0.36	0.84	-0.22
YKL041W	0.26	-0.14	0.1	0.74	0.24	0	0.64	0.09
YMR233W	-0.28	-0.42	0.05	0.14	-0.2	-0.79	0.25	0.12
