UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YML048W	0.73	0.13	0.25	0.39	0.04	-0.37	0.97	0.14
YNL156C	0.42	-0.16	0.12	0.7	0.16	0.13	0.31	0.15
YOR101W	-0.54	-0.11	0.11	-0.12	-0.68	-1.43	-0.92	-0.29
YML050W	0.25	0.1	-0.06	0.24	0.07	-0.46	0.47	0.25
YNL158W	0.23	-0.02	0.17	0.8	0.12	-0.1	0.12	-0.03
YOR103C	0.18	-0.06	0.27	0.8	-0.01	-0.24	-0.15	-0.18
YML053C	0.1	-0.76	0.26	0.21	-0.16	-0.44	0.64	0.28
YNL160W	-0.45	-0.06	0.38		0.3	1.43	-0.16	0.63
YOR105W	-0.01	-0.3	-0.05	0.33	0.02	-0.27	-0.42	0.14
YML069W	0.03	0.04	0.31	0.45	0.24	-0.37	0.77	-0.17
YNL174W	-0.93	-0.71	0.46	-0.63	-0.23	-0.92	0.41	0.06
YOR119C	-0.63	0.38	0.03	0.08	-0.2	-1.13	-0.83	-0.19
YML071C	0.02	0.3	-0.06	0.37	0.39	-0.3	0.29	-0.12
YNL176C	0.09	-0.16	0.48	-0.09	-0.23	-0.68	0.43	0.09
YOR121C	0.47	-0.15	-0.04	0.68	0.12	0.62	-0.01	0.04
YML088W	0.08	0.03	0.17	0.07	0.4	-0.47	0.08	-0.18
YNL190W	0.41	0.33	0.52	0.43	0.01	-0.56	0.35	0.23
YOR135C	0.56	0.04	0.25	0.53	-0.2	0.35	0.33	0.12
YML090W	0.41	-0.64	-0.16		-0.39	-1.08	0.02	0.17
YNL192W	0.6	0.53	-0.01	0.57	0.54	-0.2	0.32	0.33
YOR137C	0.96	0.1	0.02	-0.33	0.02	-0.36	-0.85	0.09
YML092C	0.56	0.19	-0.05	1.28	0.19	-0.15	0.32	0.32
YNL194C	1.71	0.17	-0.06	0.29	0.34	0.98	-0.51	-0.02
YOR139C	0	0.26	0.1		0.1	-0.94	-1.62	-0.16
YML095C	-0.26	0.12	-0.21	0.28	-0.06	-0.65	0.02	-0.5
YNL196C	0.28	0.02	0.46	-0.24	-0.45	-0.73	-0.48	-0.21
YOR141C	0.05	0.21	-0.07	-0.24	-0.26	-1.16	-0.63	0.17
YNL210W	-0.21	0.28	-0.07	0.47	0.17	-0.12	-0.19	-0.16
YNL212W	0.27	0.36	0.06	-0.01	0.01	-0.56	-0.14	0.11
YNL214W	0.18	0.09	0.15	0.04	-0.07	-0.41	-0.44	-0.02
YNL216W	0.09	0.46	-0.08	-0.18	0.08	-1.27	-0.06	0.34
YNL218W	-0.16	0.07	-0.06	-0.32	-0.12	-0.82	-0.8	0.28
YNL220W	0.15	0.68	0.36	0.8	0.26	0.19	0.54	-0.15
YNL234W	-0.09	0.26	0.52	0.68	0	-0.18	-0.57	-0.09
YNL236W	0.15	0.32	-0.12	-0.2	0.05	-0.95	-0.34	0.01
YNL238W	0.1	0.41	0.22	-0.1	-0.05	-0.98	-0.07	-0.07
YNL240C	-0.1	0.2	0.01	-0.29	0.25	-0.44	-0.05	0.04
YNL242W	0.7	0.09	0.17	-0.46	0.3	-1.08	-0.13	0.19
YNL244C	-0.4	-0.63	0.07	-0.41	-0.69	-0.96	-0.02	-0.21
YLR081W	0.84	0.27	0.03		-2.83	0.12	0.19	7.04
YLR083C	-0.13	0.26	0.38	0.02	0.03	-1.03	0.49	0.52
YLR085C	0.13	0.21	-0.22	0.28	0.38	-0.68	-0.45	-0.09
YLR089C	0.66	0.8	-0.08	0.46	0.7	-0.71	-0.01	-0.07
YLR091W	-0.05	0.43	-0.1	0.23	0.26	-0.38	-0.29	0.11
YLR105C	-0.17	0.17	-0.12	0.03	0.46	-0.42	-0.06	-0.02
YLR107W	-0.12	-0.05	0.07	0.48	0.42	-0.06	-0.31	-0.42
YLR109W	0.1	-0.05	0.4	0.66	1.17	0.04	1.2	-0.27
YLR465C	0.48	-0.23	0.19	-0.63	0.27	-0.07	-0.41	0.86
YOR059C	0.24	0.11	-0.08	0.13	-0.16	-0.24	0.01	-0.07
YLR111W	0.24	1.26	-0.11	0.74	1.38	0.5	-0.01	0.43
YLR467W	0.36	0.32	0.12	-0.07	0.55	-0.22	0.3	0.43
YML002W	0.4	0.22	-0.01	-0.24	-0.04	-0.42	0.33	-0.01
YOR063W	-0.35	0.41	-0.22	0.54	0.13	-0.83	0.53	-0.46
YML004C	0.45	0.05	0.25	0.28	0.15	-0.24	0.5	-0.1
YOR065W	0.63	0.14	0.39	1.12	-0.07	-0.48	-0.52	0.18
YLR129W	-0.78	0.61	-0.11	-0.8	0.83	-1.3	-0.41	0.14
YML006C	0.38	0.53	-0.01	-0.28	0.68	-1.32	0.12	-0.04
YOR067C	0.25	0	0.45	0.08	-0.32	-0.63	0.39	0.16
YML008C	0.19	0.35	0.59	1.04	1.09	-1.11	0.98	-0.39
YOR069W	0.03	0.2	-0.2	0.19	-0.12	-0.7	-1.34	-0.12
